['07/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '830', '830']
['07/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1400', '1400']
['07/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '>13000', '13000']
['07/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['07/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['07/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['07/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['07/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['07/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['07/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['07/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['07/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['07/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/31/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['08/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['08/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['08/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['08/06/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['08/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1200', '1200']
['08/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['08/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['08/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['08/13/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['08/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['08/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['08/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['08/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['08/20/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['08/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['08/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['08/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['08/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['08/27/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['08/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['08/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['09/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['09/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['09/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['09/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['09/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['09/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['09/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['09/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['09/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['09/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['09/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['09/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['09/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['09/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['09/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['09/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '910', '910']
['10/06/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['10/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1700', '1700']
['10/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['10/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/13/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1600', '1600']
['10/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['10/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['10/20/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1100', '1100']
['10/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['10/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/27/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['10/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/31/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '4600', '4600']
['11/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1000', '1000']
['11/06/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['11/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['11/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['11/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/13/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['11/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['11/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '830', '830']
['11/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '3200', '3200']
['11/20/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2000', '2000']
['11/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['11/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['11/27/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['11/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2900', '2900']
['12/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['12/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['12/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['12/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['12/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['12/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1000', '1000']
['12/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['12/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1300', '1300']
['12/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['12/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['12/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['12/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['12/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['12/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
