07/07/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
07/14/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
07/21/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 740, 740
07/28/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
08/04/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
08/11/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
08/18/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
08/25/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
09/08/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
09/15/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
09/22/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 210, 210
09/29/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 210, 210
10/06/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
10/20/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 280, 280
10/27/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 280, 280
11/03/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 910, 910
11/10/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
11/17/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
11/24/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
12/01/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
12/29/2009, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
01/05/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
01/12/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
02/02/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
02/16/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
03/16/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
03/23/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
03/30/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 210, 210
05/04/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
05/11/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
05/25/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 130, 130
06/01/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
06/15/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
06/22/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 33.5, 33.5
06/29/2010, 'SMB-6-05', 'TOTAL COLIFORM (CS)', 'SM9223', 67, 67
