09/01/2009, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
10/13/2009, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 10, 10
12/08/2009, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 10, 10
12/15/2009, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 20, 20
12/22/2009, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
01/19/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 53, 53
01/26/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 31, 31
02/09/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 10, 10
02/23/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 20, 20
03/02/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 99, 99
03/09/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
04/06/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
04/13/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 10, 10
04/20/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
04/27/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
05/18/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
06/08/2010, 'SMB-6-06', 'ENTEROCOCCUS (CS)', 'IDEXX', 5, 5
